path,type,suggested_action,current_location,suggested_location
"(use ""git add <file>..."" to include in what will be committed)",other,keep-commit,.,.
.npmrc,other,keep-commit,.,.
2025 Notebook.rmdoc,rmdoc,move,.,notebooks
Boxing method.rmdoc,rmdoc,move,.,notebooks
CLAUDE_ONLY_SUMMARY.md,md,move,.,docs
CLAUDE_PENPAL_FIX_SUMMARY.md,md,move,.,docs
Charting method.rmdoc,rmdoc,move,.,notebooks
Claude_conversation.rmdoc,rmdoc,move,.,notebooks
Daily planner US.rmdoc,rmdoc,move,.,notebooks
Daily planner.rmdoc,rmdoc,move,.,notebooks
Daily to-dos.rmdoc,rmdoc,move,.,notebooks
Feedback model.rmdoc,rmdoc,move,.,notebooks
IMPLEMENTATION_PLAN.md,md,keep-commit,.,.
Kanban board.rmdoc,rmdoc,move,.,notebooks
METADATA_FIX.md,md,keep-commit,.,.
METADATA_FIX_VERIFICATION.md,md,keep-commit,.,.
MYSCRIPT_INTEGRATION.md,md,keep-commit,.,.
Meeting minutes.rmdoc,rmdoc,move,.,notebooks
ORGANIZATION_PLAN.md,md,keep-commit,.,.
Outline method.rmdoc,rmdoc,move,.,notebooks
PR_SUMMARY.md,md,move,.,docs
Peer review.rmdoc,rmdoc,move,.,notebooks
Project brief.rmdoc,rmdoc,move,.,notebooks
Project planning.rmdoc,rmdoc,move,.,notebooks
Quadrant method.rmdoc,rmdoc,move,.,notebooks
Question Box.rmdoc,rmdoc,move,.,notebooks
Quick sheets.rmdoc,rmdoc,move,.,notebooks
RCU_REMOVAL_SUMMARY.md,md,move,.,docs
REPOSITORY_CLEANUP_SUMMARY.md,md,move,.,docs
RMAPI_FIXES.md,md,keep-commit,.,.
Remarkable Pro Terminal Research.rmdoc,rmdoc,move,.,notebooks
SUMMARY_OF_CHANGES.md,md,move,.,docs
Sentence method.rmdoc,rmdoc,move,.,notebooks
TESTING_REPORT.md,md,keep-commit,.,.
Task priority.rmdoc,rmdoc,move,.,notebooks
Testing Notebook.rmdoc,rmdoc,move,.,notebooks
"Tmux Cheat Sheet & Quick Reference | Session, window, pane and more.rmdoc",rmdoc,move,.,notebooks
api-docs.json,json,keep-commit,.,.
check_api.py,py,keep-commit,.,.
check_tags.py,py,keep-commit,.,.
cleanup_plan.md,md,keep-commit,.,.
create_and_upload_test_notebook.py,py,move,.,scripts
create_complete_notebook.py,py,move,.,scripts
create_minimal_notebook.py,py,move,.,scripts
create_placeholder.py,py,move,.,scripts
create_proper_notebook.py,py,move,.,scripts
create_test_notebook.py,py,move,.,scripts
debug_rmapi.py,py,keep-commit,.,.
debug_upload/09ac6fb4-205b-4f0f-a6a9-97d98988e7d8.metadata,other,keep-commit,debug_upload,debug_upload
debug_upload/Minimal_Test_Notebook_1747242104.rmdoc,rmdoc,move,debug_upload,notebooks
debug_upload/Test Copy.rmdoc,rmdoc,move,debug_upload,notebooks
debug_upload/Test_Claude_Penpal_Notebook_1747256774.rmdoc,rmdoc,move,debug_upload,notebooks
debug_upload/Test_Claude_Penpal_Notebook_1747256881.rmdoc,rmdoc,move,debug_upload,notebooks
debug_upload/Test_Claude_Penpal_Notebook_1747256908.rmdoc,rmdoc,move,debug_upload,notebooks
debug_upload/Test_Claude_Penpal_Notebook_1747256923.rmdoc,rmdoc,move,debug_upload,notebooks
debug_upload/Test_Claude_Penpal_Notebook_1747257009.rmdoc,rmdoc,move,debug_upload,notebooks
debug_upload/Test_Claude_Penpal_Notebook_complete_1747257111.rmdoc,rmdoc,move,debug_upload,notebooks
debug_upload/Test_Lilly_Notebook_1747242054.rmdoc,rmdoc,move,debug_upload,notebooks
debug_upload/Testing Notebook.rmdoc,rmdoc,move,debug_upload,notebooks
debug_upload/real_Daily_planner.rmdoc,rmdoc,move,debug_upload,notebooks
debug_upload/real_Question_Box.rmdoc,rmdoc,move,debug_upload,notebooks
demo_claude_penpal_service.py,py,keep-commit,.,.
demo_notebook/Demo_Claude_Penpal.rmdoc,rmdoc,move,demo_notebook,notebooks
demo_notebook/aaa43bd1-c529-4bd1-94c2-3172550471bf.content,other,keep-commit,demo_notebook,demo_notebook
demo_notebook/aaa43bd1-c529-4bd1-94c2-3172550471bf.metadata,other,keep-commit,demo_notebook,demo_notebook
demo_notebook/aaa43bd1-c529-4bd1-94c2-3172550471bf/e0d7dcf2-224f-4d92-af4a-8ca3cbf47469.rm,other,keep-commit,demo_notebook/aaa43bd1-c529-4bd1-94c2-3172550471bf,demo_notebook/aaa43bd1-c529-4bd1-94c2-3172550471bf
docs/README.md,md,move,docs,docs
docs/Remarkable Pro Terminal Research.pdf,other,keep-commit,docs,docs
docs/integrations/claude-vision/implementation.md,md,keep-commit,docs/integrations/claude-vision,docs/integrations/claude-vision
docs/integrations/claude-vision/overview.md,md,keep-commit,docs/integrations/claude-vision,docs/integrations/claude-vision
docs/integrations/claude-vision/usage.md,md,keep-commit,docs/integrations/claude-vision,docs/integrations/claude-vision
docs/integrations/limitless.md,md,keep-commit,docs/integrations,docs/integrations
docs/integrations/limitless/overview.md,md,keep-commit,docs/integrations/limitless,docs/integrations/limitless
docs/integrations/limitless/setup.md,md,keep-commit,docs/integrations/limitless,docs/integrations/limitless
docs/integrations/myscript/api.md,md,keep-commit,docs/integrations/myscript,docs/integrations/myscript
docs/integrations/myscript/overview.md,md,keep-commit,docs/integrations/myscript,docs/integrations/myscript
docs/integrations/myscript/setup.md,md,keep-commit,docs/integrations/myscript,docs/integrations/myscript
docs/lilly_directory_structure.md,md,keep-commit,docs,docs
docs/myscript_web_api_integration.md,md,keep-commit,docs,docs
download_and_reupload.py,py,keep-commit,.,.
download_and_reupload_direct.py,py,keep-commit,.,.
examine_real_notebook.py,py,keep-commit,.,.
examine_rmdoc_format.py,py,keep-commit,.,.
fetch_all_logs.py,py,keep-commit,.,.
final_demo/Final_Demo_Claude_Penpal.rmdoc,rmdoc,move,final_demo,notebooks
final_demo/dd89c9aa-a9b8-4eeb-aad8-8231ede15ae6.content,other,keep-commit,final_demo,final_demo
final_demo/dd89c9aa-a9b8-4eeb-aad8-8231ede15ae6.metadata,other,keep-commit,final_demo,final_demo
final_demo/dd89c9aa-a9b8-4eeb-aad8-8231ede15ae6/7e5f0074-a968-4e60-b823-7cd986cde5a3.rm,other,keep-commit,final_demo/dd89c9aa-a9b8-4eeb-aad8-8231ede15ae6,final_demo/dd89c9aa-a9b8-4eeb-aad8-8231ede15ae6
final_demo_claude_penpal.py,py,keep-commit,.,.
fix_claude_penpal.py,py,keep-commit,.,.
fix_metadata.py,py,keep-commit,.,.
handwriting_model/Claude.rmdoc,rmdoc,move,handwriting_model,notebooks
handwriting_model/Claude_conversation.rmdoc,rmdoc,move,handwriting_model,notebooks
handwriting_model/Claude_with_response.rmdoc,rmdoc,move,handwriting_model,notebooks
handwriting_model/README.md,md,move,handwriting_model,docs
handwriting_model/README_DATASET.md,md,move,handwriting_model,docs
handwriting_model/README_IMAGE_WORKFLOW.md,md,move,handwriting_model,docs
handwriting_model/add_response.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/claude_response.hcl,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/claude_response.rm,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/claude_response_final.hcl,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/claude_response_final.svg,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/claude_response_simple.hcl,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/claude_response_simple.png,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/claude_response_simple.rm,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/claude_response_simple.svg,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/claude_response_updated.hcl,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/claude_simple.hcl,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/claude_simple.rm,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/claude_simple.svg,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/conversation.md,md,keep-commit,handwriting_model,handwriting_model
handwriting_model/conversation.png,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/conversation.rm,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/conversation.svg,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/convert_rm_to_svg.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/convert_to_pdf.py,py,keep-commit,handwriting_model,handwriting_model
handwriting_model/create_response_pdf.py,py,move,handwriting_model,scripts
handwriting_model/cursive_sample_text.html,html,keep-commit,handwriting_model,handwriting_model
handwriting_model/cursive_sample_text.pdf,other,keep-commit,handwriting_model,handwriting_model
handwriting_model/deep_scribe/README.md,md,move,handwriting_model/deep_scribe,docs
handwriting_model/deep_scribe/dataset.py,py,keep-commit,handwriting_model/deep_scribe,handwriting_model/deep_scribe
handwriting_model/deep_scribe/demo.py,py,keep-commit,handwriting_model/deep_scribe,handwriting_model/deep_scribe
handwriting_model/deep_scribe/model.py,py,keep-commit,handwriting_model/deep_scribe,handwriting_model/deep_scribe
